Thu Jul 10 23:50:00 2025    results.prof

         2014028 function calls (1980186 primitive calls) in 77.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    1.593    0.177 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/__init__.py:326(__getattr__)
        1    0.000    0.000    1.535    1.535 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/patches.py:1(<module>)
        1    0.000    0.000    1.523    1.523 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/mpl_toolkits/mplot3d/__init__.py:1(<module>)
        1    0.000    0.000    1.518    1.518 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1(<module>)
        1    0.000    0.000    1.474    1.474 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/_spline_filters.py:1(<module>)
        1    0.000    0.000    1.469    1.469 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/_signaltools.py:1(<module>)
        1    0.000    0.000    1.445    1.445 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axes/_base.py:1(<module>)
        1    0.000    0.000    1.431    1.431 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/cbook.py:1(<module>)
        1    0.001    0.001    1.404    1.404 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/__init__.py:1(<module>)
      227    0.526    0.002    1.403    0.006 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1511(get_setters)
     1338    0.021    0.000    1.397    0.001 /usr/lib/python3.10/inspect.py:3252(signature)
     1338    0.021    0.000    1.377    0.001 /usr/lib/python3.10/inspect.py:2998(from_callable)
      439    0.698    0.002    1.374    0.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/doccer.py:231(indentcount_lines)
1817/1342    0.106    0.000    1.358    0.001 /usr/lib/python3.10/inspect.py:2375(_signature_from_callable)
       73    0.005    0.000    1.339    0.018 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/Image.py:927(convert)
        9    0.000    0.000    1.294    0.144 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axes/_base.py:783(__init_subclass__)
      114    0.046    0.000    1.284    0.011 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/PIL/ImageFile.py:272(load)
