Thu Jul 10 07:49:21 2025    results.prof

         4680484 function calls (4609963 primitive calls) in 79.901 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2391/2387    0.723    0.000    3.233    0.001 /usr/lib/python3.10/posixpath.py:401(_joinrealpath)
        2    0.000    0.000    3.193    1.597 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/library.py:1016(register)
      596    0.009    0.000    3.132    0.005 /usr/lib/python3.10/dataclasses.py:1174(wrap)
      596    0.302    0.001    3.123    0.005 /usr/lib/python3.10/dataclasses.py:881(_process_class)
        1    0.000    0.000    3.114    3.114 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/fsdp/_flat_param.py:1(<module>)
     3208    0.048    0.000    3.109    0.001 /usr/lib/python3.10/inspect.py:3252(signature)
     3208    0.049    0.000    3.060    0.001 /usr/lib/python3.10/inspect.py:2998(from_callable)
4382/3238    0.257    0.000    3.031    0.001 /usr/lib/python3.10/inspect.py:2375(_signature_from_callable)
        1    0.000    0.000    3.006    3.006 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/fsdp/_fsdp_extensions.py:1(<module>)
414577/414529    2.838    0.000    2.970    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    2.921    2.921 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/pietorch/functional_numpy.py:1(<module>)
        1    0.000    0.000    2.895    2.895 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/polys/__init__.py:1(<module>)
        1    0.000    0.000    2.751    2.751 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_higher_order_ops/map.py:1(<module>)
        1    0.001    0.001    2.744    2.744 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_functorch/aot_autograd.py:1(<module>)
        1    0.000    0.000    2.712    2.712 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/fsdp/_shard_utils.py:1(<module>)
        1    0.000    0.000    2.708    2.708 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/tensor/__init__.py:1(<module>)
        1    0.000    0.000    2.705    2.705 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/tensor/_ops/__init__.py:1(<module>)
382803/379168    2.626    0.000    2.676    0.000 {built-in method builtins.len}
     3213    0.048    0.000    2.646    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
      431    0.739    0.002    2.637    0.006 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/doccer.py:29(docformat)
        1    0.003    0.003    2.629    2.629 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_continuous_distns.py:1(<module>)
     3213    0.139    0.000    2.597    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
      111    0.007    0.000    2.570    0.023 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:1846(__init__)
        1    0.000    0.000    2.521    2.521 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/fft/__init__.py:1(<module>)
        1    0.000    0.000    2.501    2.501 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/tensor/_ops/_conv_ops.py:1(<module>)
      444    0.018    0.000    2.440    0.005 /usr/lib/python3.10/sre_parse.py:944(parse)
    32179    1.128    0.000    2.433    0.000 /usr/lib/python3.10/posixpath.py:71(join)
      227    0.009    0.000    2.429    0.011 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1413(__init__)
        1    0.000    0.000    2.412    2.412 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/fft/_fftlog.py:1(<module>)
      227    0.244    0.001    2.411    0.011 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1433(get_aliases)
        1    0.000    0.000    2.406    2.406 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/fft/_fftlog_backend.py:1(<module>)
        1    0.000    0.000    2.404    2.404 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/special/__init__.py:1(<module>)
        1    0.000    0.000    2.399    2.399 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/contour.py:1(<module>)
 1375/444    0.082    0.000    2.392    0.005 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
        1    0.000    0.000    2.392    2.392 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/tensor/_dtensor_spec.py:1(<module>)
        1    0.000    0.000    2.381    2.381 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/tensor/placement_types.py:1(<module>)
     2993    0.208    0.000    2.355    0.001 <frozen importlib._bootstrap_external>:950(get_code)
 1935/485    0.576    0.000    2.350    0.005 /usr/lib/python3.10/sre_parse.py:494(_parse)
        1    0.000    0.000    2.339    2.339 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/distributed/tensor/_collective_utils.py:1(<module>)
