epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,63.5962,0.79575,1.72275,1.18922,0.36856,0.28826,0.22874,0.15268,1.35298,2.82605,1.40934,0.000751703,0.000751703,0.000751703
100,64.2241,0.80516,1.82334,1.122,0.34183,0.2901,0.23386,0.14818,1.34893,2.84048,1.40802,0.000748036,0.000748036,0.000748036
101,64.8101,0.72747,1.75893,1.1167,0.34183,0.2901,0.23386,0.14818,1.34893,2.84048,1.40802,0.00074437,0.00074437,0.00074437
102,65.4204,0.78454,1.84724,1.20821,0.40372,0.28826,0.23569,0.14825,1.33592,2.85072,1.38951,0.000740704,0.000740704,0.000740704
103,66.1705,0.83559,1.75785,1.17373,0.40372,0.28826,0.23569,0.14825,1.33592,2.85072,1.38951,0.000737037,0.000737037,0.000737037
104,66.7914,0.94852,1.96354,1.21682,0.37912,0.30255,0.22293,0.14951,1.32052,2.87087,1.38322,0.000733371,0.000733371,0.000733371
105,67.3848,0.87084,1.89675,1.30541,0.37912,0.30255,0.22293,0.14951,1.32052,2.87087,1.38322,0.000729705,0.000729705,0.000729705
106,68.0145,0.83682,1.77811,1.22578,0.42379,0.30228,0.21767,0.1506,1.30111,2.87203,1.37053,0.000726038,0.000726038,0.000726038
107,68.617,0.8171,1.73279,1.15768,0.42379,0.30228,0.21767,0.1506,1.30111,2.87203,1.37053,0.000722372,0.000722372,0.000722372
108,69.2244,0.8642,1.87335,1.29891,0.37006,0.30255,0.20475,0.14531,1.29828,2.90037,1.36777,0.000718706,0.000718706,0.000718706
109,69.8016,0.8169,1.7765,1.16618,0.37006,0.30255,0.20475,0.14531,1.29828,2.90037,1.36777,0.00071504,0.00071504,0.00071504
110,70.412,0.81864,1.78173,1.14691,0.37364,0.30255,0.20413,0.14093,1.30641,2.90861,1.37039,0.000711373,0.000711373,0.000711373
111,71.0013,0.95962,1.82803,1.28798,0.37364,0.30255,0.20413,0.14093,1.30641,2.90861,1.37039,0.000707707,0.000707707,0.000707707
112,71.7594,0.77766,1.70986,1.14353,0.39827,0.30255,0.20208,0.14056,1.3257,2.90189,1.37644,0.000704041,0.000704041,0.000704041
113,72.3696,0.89867,1.87142,1.24262,0.39827,0.30255,0.20208,0.14056,1.3257,2.90189,1.37644,0.000700374,0.000700374,0.000700374
114,72.9973,0.88157,1.86923,1.26568,0.38633,0.30255,0.20121,0.13917,1.32243,2.90791,1.37457,0.000696708,0.000696708,0.000696708
115,73.585,0.76149,1.79397,1.16794,0.38633,0.30255,0.20121,0.13917,1.32243,2.90791,1.37457,0.000693042,0.000693042,0.000693042
116,74.2112,0.832,2.14473,1.23017,0.38441,0.30255,0.20617,0.14403,1.34341,2.90403,1.38391,0.000689376,0.000689376,0.000689376
117,74.796,0.81314,1.7389,1.19234,0.38441,0.30255,0.20617,0.14403,1.34341,2.90403,1.38391,0.000685709,0.000685709,0.000685709
118,75.4206,0.81212,1.75153,1.23557,0.38487,0.30445,0.2023,0.14688,1.35119,2.88216,1.39291,0.000682043,0.000682043,0.000682043
119,76.0268,0.93577,1.94012,1.25652,0.38487,0.30445,0.2023,0.14688,1.35119,2.88216,1.39291,0.000678377,0.000678377,0.000678377
120,76.6353,0.8028,1.88229,1.22695,0.40343,0.3083,0.2059,0.14948,1.35128,2.88146,1.39043,0.00067471,0.00067471,0.00067471
121,77.241,0.88914,1.84379,1.22968,0.40343,0.3083,0.2059,0.14948,1.35128,2.88146,1.39043,0.000671044,0.000671044,0.000671044
122,78.0101,0.79882,1.68242,1.1522,0.40515,0.309,0.20053,0.147,1.35905,2.86943,1.39018,0.000667378,0.000667378,0.000667378
123,78.6169,0.81737,1.67001,1.09973,0.40515,0.309,0.20053,0.147,1.35905,2.86943,1.39018,0.000663711,0.000663711,0.000663711
124,79.252,0.79023,1.68214,1.18877,0.4175,0.30416,0.21416,0.14883,1.35714,2.84522,1.38494,0.000660045,0.000660045,0.000660045
125,79.8258,0.78903,1.59672,1.16887,0.4175,0.30416,0.21416,0.14883,1.35714,2.84522,1.38494,0.000656379,0.000656379,0.000656379
126,80.4406,0.90545,1.92102,1.23843,0.39936,0.27342,0.2007,0.1466,1.36219,2.81648,1.38382,0.000652712,0.000652712,0.000652712
127,81.0518,0.78471,1.7221,1.13467,0.39936,0.27342,0.2007,0.1466,1.36219,2.81648,1.38382,0.000649046,0.000649046,0.000649046
128,81.6865,0.73606,1.79302,1.10478,0.42656,0.27567,0.21125,0.14881,1.36764,2.80661,1.3857,0.00064538,0.00064538,0.00064538
129,82.2709,0.81558,1.81884,1.29118,0.42656,0.27567,0.21125,0.14881,1.36764,2.80661,1.3857,0.000641714,0.000641714,0.000641714
130,82.8994,0.88568,1.92624,1.22271,0.43183,0.27567,0.21079,0.1467,1.36197,2.80487,1.38371,0.000638047,0.000638047,0.000638047
131,83.6285,0.87551,1.75454,1.22341,0.43183,0.27567,0.21079,0.1467,1.36197,2.80487,1.38371,0.000634381,0.000634381,0.000634381
132,84.2403,0.81228,1.73568,1.17655,0.46297,0.27567,0.21262,0.15109,1.36616,2.82002,1.39183,0.000630715,0.000630715,0.000630715
133,84.8147,0.8352,1.6961,1.17689,0.46297,0.27567,0.21262,0.15109,1.36616,2.82002,1.39183,0.000627048,0.000627048,0.000627048
134,85.4238,0.82192,1.82251,1.29986,0.36322,0.27567,0.21127,0.14973,1.36738,2.84024,1.40249,0.000623382,0.000623382,0.000623382
135,86.011,0.74476,1.65309,1.15827,0.36322,0.27567,0.21127,0.14973,1.36738,2.84024,1.40249,0.000619716,0.000619716,0.000619716
136,86.6034,0.77521,1.66045,1.1735,0.4158,0.2551,0.21291,0.14518,1.37335,2.84888,1.40594,0.000616049,0.000616049,0.000616049
137,87.1809,0.80276,1.74491,1.21997,0.4158,0.2551,0.21291,0.14518,1.37335,2.84888,1.40594,0.000612383,0.000612383,0.000612383
138,87.7847,0.89297,1.92731,1.30509,0.34748,0.24647,0.21049,0.14208,1.37221,2.84182,1.40176,0.000608717,0.000608717,0.000608717
139,88.3597,0.85725,1.73301,1.17534,0.34748,0.24647,0.21049,0.14208,1.37221,2.84182,1.40176,0.000605051,0.000605051,0.000605051
140,88.9492,0.72721,1.58406,1.1515,0.35751,0.24712,0.21625,0.14578,1.37025,2.84315,1.3998,0.000601384,0.000601384,0.000601384
